feedback_id,citizen_id,category,channel,department,submit_time
FB1082,CD145,Hạ tầng,app ,Cong an,29/02/2024 16:32
FB1083,cd133,Môi trường,Website,UBND phuong,29/02/2024 06:15
FB1084,CD104,Ha tang,APP,cong  an,2024-02-28 20:00
FB1085,CD127 ,ha  tang,Truc tiep,Phòng TNMT,02/02/2024 06:07
FB1086,cd136,Thu tuc,app ,Cong an,22/01/2024 07:30
FB1087,CD135,Hạ tầng,trực tiếp,Phòng TNMT,2024-01-29 13:53
FB1088,cd106,Thu tuc,Truc tiep,Cong an,2024-02-16 08:00
FB1089, CD148,an  ninh,Website,Cong an,2024-01-29 11:50
FB1090,cd106,Môi trường,APP,UBND phường,2024-02-01 15:10
FB1091,CD123,Môi trường,App,UBND phường,01/01/2024 15:30
FB1092,cd101,Thu tuc,web site,Cong an,2024-01-30 11:32
FB1093,CD129 ,Ha tang,app ,Công an,17/02/2024 10:30
FB1094,cd106,Thủ tục hành chính,app ,ubnd  phuong,2024-01-20 03:08
FB1095,CD121,Thủ tục hành chính,APP,Công an,2024-01-10 01:45
FB1096,CD143,Ha tang,App,phong  tnmt,2024-01-19 01:41
FB1097,CD123,Hạ tầng,app ,phong  tnmt,23/01/2024 21:16
FB1098, CD122,Ha tang,Website,ubnd  phuong,2024-01-07 02:51
FB1099, CD142,an  ninh,web site,Phong TNMT,11/02/2024 11:39
FB1100,cd119,Ha tang,Website,Cong an,20/01/2024 02:47
FB1101,CD100 ,Môi trường,app ,phong  tnmt,25/01/2024 07:52
FB1102,CD115 ,Hạ tầng,APP,phong  tnmt,2024-02-03 19:42
FB1103, CD142,Môi trường,app ,phong  tnmt,2024-02-05 02:43
FB1104,CD127 ,Môi trường,Hotline,UBND phường,14/01/2024 05:18
FB1105,CD144 ,Thu tuc,Truc tiep,Công an,2024-01-19 14:16
FB1106,CD112 ,Thu tuc,web site,cong  an,2024-02-17 04:57
FB1107,cd106,Moi truong,hot line,Phòng TNMT,2024-02-18 15:35
FB1108, CD148,Thu tuc,Hotline,phong  tnmt,06/01/2024 19:35
FB1109,CD117,Thủ tục hành chính,App,ubnd  phuong,21/01/2024 22:25
FB1110,CD123,An ninh,Hotline,phong  tnmt,30/01/2024 23:06
FB1111, CD114,Thủ tục hành chính,app ,ubnd  phuong,2024-01-09 01:17
FB1112, CD126,Môi trường,app ,cong  an,2024-01-17 03:23
FB1113, CD140,Ha tang,Hotline,phong  tnmt,27/01/2024 18:46
FB1114, CD140,an  ninh,App,ubnd  phuong,2024-01-14 10:20
FB1115, CD148,Ha tang,hot line,UBND phuong,13/01/2024 09:07
FB1116,CD123,an  ninh,APP,Công an,2024-01-25 15:33
FB1117, CD131,Môi trường,web site,UBND phường,30/01/2024 01:10
FB1118,cd107,Hạ tầng,APP,phong  tnmt,20/02/2024 14:16
FB1119,cd106,ha  tang,APP,Phong TNMT,11/01/2024 17:00
